,index,21-stage,21-gc,21-points,21-kom,21-youth,team,21-teams,year
0,Bennett Sam,1,138,1,,,Deceuninck - Quick Step,18,2020
1,Pedersen Mads,2,124,17,18,,Trek - Segafredo,6,2020
2,Sagan Peter,3,84,2,,,BORA - hansgrohe,15,2020
3,Kristoff Alexander,4,132,11,,,UAE Team Emirates,9,2020
4,Viviani Elia,5,135,33,,,Cofidis,13,2020
5,Van Aert Wout,6,20,5,,45,Team Jumbo-Visma,2,2020
6,Ewan Caleb,7,144,6,,,Lotto Soudal,22,2020
7,Hofstetter Hugo,8,115,25,,,Israel Start-Up Nation,19,2020
8,Coquard Bryan,9,122,4,,,B&B Hotels - Vital Concept p/b KTM,16,2020
9,Walscheid Max,10,134,67,,,NTT Pro Cycling,20,2020
10,Colbrelli Sonny,11,93,72,,,Bahrain - McLaren,3,2020
11,Boasson Hagen Edvald,12,101,23,,,NTT Pro Cycling,20,2020
12,Mezgec Luka,13,88,13,,,Mitchelton-Scott,10,2020
13,Bonifazio Niccolò,14,141,30,,61,Team Total Direct Energie,21,2020
14,Russo Clément,15,133,125,20,60,Team Arkéa Samsic,12,2020
15,Venturini Clément,16,104,40,,,AG2R La Mondiale,8,2020
16,Trentin Matteo,17,79,3,,,CCC Team,14,2020
17,Bol Cees,18,140,22,22,,Team Sunweb,17,2020
18,Stuyven Jasper,19,71,18,,,Trek - Segafredo,6,2020
19,Van Asbroeck Tom,20,98,117,,,Israel Start-Up Nation,19,2020
20,Reza Kévin,21,137,99,,,B&B Hotels - Vital Concept p/b KTM,16,2020
21,Haller Marco,22,143,106,,,Bahrain - McLaren,3,2020
22,Bauer Jack,23,83,109,,,Mitchelton-Scott,10,2020
23,Naesen Oliver,24,61,48,,,AG2R La Mondiale,8,2020
24,Turgis Anthony,25,108,79,,,Team Total Direct Energie,21,2020
25,Mørkøv Michael,26,130,10,,,Deceuninck - Quick Step,18,2020
26,Mohorič Matej,27,76,,,,Bahrain - McLaren,3,2020
27,Koch Jonas,28,125,120,,,CCC Team,14,2020
28,Consonni Simone,29,112,75,,,Cofidis,13,2020
29,Keukeleire Jens,30,89,128,,,EF Pro Cycling,4,2020
30,Soupe Geoffrey,31,123,102,,,Team Total Direct Energie,21,2020
31,Rojas José Joaquín,32,70,,,,Movistar Team,1,2020
32,Barthe Cyril,33,96,124,12,,B&B Hotels - Vital Concept p/b KTM,16,2020
33,Molard Rudy,34,39,,,,Groupama - FDJ,11,2020
34,Bilbao Pello,35,16,82,,17,Bahrain - McLaren,3,2020
35,Landa Mikel,36,4,37,,24,Bahrain - McLaren,3,2020
36,Dumoulin Tom,37,7,41,,,Team Jumbo-Visma,2,2020
37,Polanc Jan,38,40,,,,UAE Team Emirates,9,2020
38,Roglič Primož,39,2,12,,3,Team Jumbo-Visma,2,2020
39,Valverde Alejandro,40,12,73,,,Movistar Team,1,2020
40,Pogačar Tadej,41,1,8,1,1,UAE Team Emirates,9,2020
41,Mas Enric,42,5,50,2,11,Movistar Team,1,2020
42,Bettiol Alberto,43,62,64,,,EF Pro Cycling,4,2020
43,De Buyst Jasper,44,142,113,,,Lotto Soudal,22,2020
44,Jansen Amund Grøndahl,45,128,130,,,Team Jumbo-Visma,2,2020
45,Cataldo Dario,46,80,116,,,Movistar Team,1,2020
46,Yates Adam,47,9,24,,36,Mitchelton-Scott,10,2020
47,Izagirre Gorka,48,22,89,,31,Astana Pro Team,7,2020
48,Erviti Imanol,49,74,69,,,Movistar Team,1,2020
49,Laporte Christophe,50,107,61,,,Cofidis,13,2020
50,Nieuwenhuis Joris,51,103,,13,,Team Sunweb,17,2020
51,Chaves Esteban,52,23,90,,,Mitchelton-Scott,10,2020
52,Lutsenko Alexey,53,46,34,,29,Astana Pro Team,7,2020
53,Oliveira Nelson,54,55,100,,,Movistar Team,1,2020
54,Laengen Vegard Stake,55,82,,,,UAE Team Emirates,9,2020
55,Urán Rigoberto,56,8,59,,,EF Pro Cycling,4,2020
56,Sánchez Luis León,57,32,91,,,Astana Pro Team,7,2020
57,Schär Michael,58,69,76,,49,CCC Team,14,2020
58,López Miguel Ángel,59,6,31,,5,Astana Pro Team,7,2020
59,Verona Carlos,60,19,62,,20,Movistar Team,1,2020
60,Barguil Warren,61,14,45,,40,Team Arkéa Samsic,12,2020
61,Porte Richie,62,3,26,,8,Trek - Segafredo,6,2020
62,Kuss Sepp,63,15,54,,12,Team Jumbo-Visma,2,2020
63,Caruso Damiano,64,10,53,,43,Bahrain - McLaren,3,2020
64,Asgreen Kasper,65,114,46,16,39,Deceuninck - Quick Step,18,2020
65,Vuillermoz Alexis,66,35,103,,,AG2R La Mondiale,8,2020
66,Elissonde Kenny,67,25,107,,,Trek - Segafredo,6,2020
67,Cherel Mikaël,68,26,123,,,AG2R La Mondiale,8,2020
68,Van Baarle Dylan,69,59,96,,,INEOS Grenadiers,5,2020
69,Skujiņš Toms,70,81,39,,18,Trek - Segafredo,6,2020
70,Fraile Omar,71,60,85,,32,Astana Pro Team,7,2020
71,Martínez Daniel Felipe,72,28,38,4,25,EF Pro Cycling,4,2020
72,Rolland Pierre,73,18,28,,7,B&B Hotels - Vital Concept p/b KTM,16,2020
73,Houle Hugo,74,47,68,,,Astana Pro Team,7,2020
74,Poels Wout,75,110,,,56,Bahrain - McLaren,3,2020
75,Juul-jensen Christopher,76,99,115,,,Mitchelton-Scott,10,2020
76,Pinot Thibaut,77,29,94,,,Groupama - FDJ,11,2020
77,Powless Neilson,78,56,29,9,23,EF Pro Cycling,4,2020
78,Gesink Robert,79,42,118,,41,Team Jumbo-Visma,2,2020
79,Quintana Nairo,80,17,60,,44,Team Arkéa Samsic,12,2020
80,Madouas Valentin,81,27,83,3,22,Groupama - FDJ,11,2020
81,Gibbons Ryan,82,121,98,,,NTT Pro Cycling,20,2020
82,Eg Niklas,83,51,,7,,Trek - Segafredo,6,2020
83,Tejada Harold,84,45,127,6,,Astana Pro Team,7,2020
84,Amador Andrey,85,77,101,,,INEOS Grenadiers,5,2020
85,Rowe Luke,86,129,65,,,INEOS Grenadiers,5,2020
86,Arndt Nikias,87,126,95,,,Team Sunweb,17,2020
87,Devenyns Dries,88,90,74,,,Deceuninck - Quick Step,18,2020
88,Martin Dan,89,41,63,,21,Israel Start-Up Nation,19,2020
89,Oss Daniel,90,105,19,,,BORA - hansgrohe,15,2020
90,Chevalier Maxime,91,136,,21,,B&B Hotels - Vital Concept p/b KTM,16,2020
91,Gautier Cyril,92,78,87,,54,B&B Hotels - Vital Concept p/b KTM,16,2020
92,Quintana Dayer,93,95,,,,Team Arkéa Samsic,12,2020
93,Jungels Bob,94,43,104,,,Deceuninck - Quick Step,18,2020
94,Pacher Quentin,95,53,32,,16,B&B Hotels - Vital Concept p/b KTM,16,2020
95,Großschartner Felix,96,63,70,,52,BORA - hansgrohe,15,2020
96,Kämna Lennard,97,33,16,5,10,BORA - hansgrohe,15,2020
97,Ladagnous Matthieu,98,94,81,,59,Groupama - FDJ,11,2020
98,Geschke Simon,99,48,35,,19,CCC Team,14,2020
99,Niv Guy,100,139,,,,Israel Start-Up Nation,19,2020
100,Hermans Ben,101,68,86,,53,Israel Start-Up Nation,19,2020
101,Carapaz Richard,102,13,21,,2,INEOS Grenadiers,5,2020
102,Anacona Winner,103,66,112,,,Team Arkéa Samsic,12,2020
103,Neilands Krists,104,85,88,,50,Israel Start-Up Nation,19,2020
104,Martin Guillaume,105,11,44,,37,Cofidis,13,2020
105,Reichenbach Sébastien,106,24,42,,38,Groupama - FDJ,11,2020
106,Marcato Marco,107,111,110,,,UAE Team Emirates,9,2020
107,Politt Nils,108,120,47,,57,Israel Start-Up Nation,19,2020
108,De Gendt Thomas,109,52,84,,30,Lotto Soudal,22,2020
109,Ledanois Kévin,110,102,105,,55,Team Arkéa Samsic,12,2020
110,Herrada Jesús,111,44,27,,14,Cofidis,13,2020
111,Peters Nans,112,65,56,,9,AG2R La Mondiale,8,2020
112,Kluge Roger,113,146,114,,,Lotto Soudal,22,2020
113,Périchon Pierre-luc,114,86,92,,,Cofidis,13,2020
114,Van Avermaet Greg,115,50,15,,33,CCC Team,14,2020
115,Impey Daryl,116,97,93,,,Mitchelton-Scott,10,2020
116,Kragh Andersen Søren,117,58,9,,34,Team Sunweb,17,2020
117,Declercq Tim,118,127,129,,,Deceuninck - Quick Step,18,2020
118,Alaphilippe Julian,119,36,7,,15,Deceuninck - Quick Step,18,2020
119,Cavagna Rémi,120,113,36,15,46,Deceuninck - Quick Step,18,2020
120,Pedersen Casper,121,92,71,11,,Team Sunweb,17,2020
121,Benoot Tiesj,122,75,52,,58,Team Sunweb,17,2020
122,Sicard Romain,123,31,108,,,Team Total Direct Energie,21,2020
123,Frison Frederik,124,145,,,,Lotto Soudal,22,2020
124,Grellier Fabien,125,117,80,,35,Team Total Direct Energie,21,2020
125,Edet Nicolas,126,49,58,,42,Cofidis,13,2020
126,Sivakov Pavel,127,87,78,10,,INEOS Grenadiers,5,2020
127,De La Cruz David,128,72,77,,47,UAE Team Emirates,9,2020
128,Soler Marc,129,21,57,,28,Movistar Team,1,2020
129,Hirt Jan,130,67,,,,CCC Team,14,2020
130,Schachmann Maximilian,131,57,20,,27,BORA - hansgrohe,15,2020
131,Martin Tony,132,118,111,,,Team Jumbo-Visma,2,2020
132,Van Garderen Tejay,133,91,121,,,EF Pro Cycling,4,2020
133,Buchmann Emanuel,134,38,,,,BORA - hansgrohe,15,2020
134,Carthy Hugh,135,37,,,,EF Pro Cycling,4,2020
135,Swift Connor,136,106,97,14,,Team Arkéa Samsic,12,2020
136,Cosnefroy Benoît,137,116,51,17,6,AG2R La Mondiale,8,2020
137,Hirschi Marc,138,54,14,8,4,Team Sunweb,17,2020
138,De Marchi Alessandro,139,100,,,,CCC Team,14,2020
139,Kwiatkowski Michał,140,30,43,,13,INEOS Grenadiers,5,2020
140,Burgaudeau Mathieu,141,131,66,19,51,Team Total Direct Energie,21,2020
141,Theuns Edward,142,119,49,,48,Trek - Segafredo,6,2020
142,Kreuziger Roman,143,109,122,,,NTT Pro Cycling,20,2020
143,Roche Nicolas,144,64,55,,26,Team Sunweb,17,2020
144,Bennett George,145,34,126,,,Team Jumbo-Visma,2,2020
145,Valgren Michael,146,73,119,,,NTT Pro Cycling,20,2020
